Disease,Symptoms
tricuspid   valve insufficiency,"monoclonal, ataxia, chill, poor dentition, pain, cicatrisation, mediastinal shift, unresponsiveness"
failure   kidney,"milky, bedridden, homelessness, pain neck, prostatism, fatigue, no status change, hot flush"
thrombocytopaenia,"monocytosis, fatigue, posterior rhinorrhea, hypersomnia, pruritus, urgency of micturition, out of breath, natural, asthenia, hypotension"
delirium,"transsexual, suicidal, mediastinal shift, fever, hallucinations auditory, jugular venous distention"
pyelonephritis,"myalgia, fever, hot flush, unhappy, chill, pain abdominal"
kidney   disease,"paralyse, posturing, fever, gravida 0, hyperkalemia, bleeding of vagina, hypothermia"
degenerative   polyarthritis,"polydypsia, titubation, pleuritic pain, inappropriate affect, stiffness, unsteady gait, hematocrit decreased, air fluid level, paresthesia"
infection   urinary tract,"difficulty passing urine, hypoxemia, orthostasis, rolling of eyes, mental status changes, distress respiratory, st segment depression"
chronic   alcoholic intoxication,"breath sounds decreased, sleeplessness, panic, renal angle tenderness, haemorrhage, breath-holding spell"
sickle   cell anemia,"fall, headache, green sputum, coordination abnormal, weight gain, hepatosplenomegaly"
pneumothorax,"prostatism, hypesthesia, agitation, soft tissue swelling, low back pain, charleyhorse, primigravida"
migraine   disorders,"nausea, muscle twitch, ambidexterity, splenomegaly, unhappy"
carcinoma prostate,"throbbing sensation quality, throat sore, hemodynamically stable, mass of body structure, orthostasis"
affect   labile,"bedridden, prostatism, difficulty, chest tightness, cachexia"
deep   vein thrombosis,"hypotension, clonus, heavy feeling, mental status changes, redness, numbness of hand, spasm, withdraw"
gastroenteritis,"hyperemesis, mass of body structure, heme positive, moan, decreased body weight, snuffle, retch, sinus rhythm, primigravida"
paranoia,"mood depressed, blackout, pleuritic pain, breech presentation, hypothermia, loose associations"
carcinoma breast,"inappropriate affect, facial paresis, swelling, formication, hypoproteinemia, burning sensation, urinary hesitation, hemiplegia"
kidney   failure acute,"ambidexterity, noisy respiration, hoarseness, unresponsiveness, aura, natural, excruciating pain, diarrhea"
myocardial   infarction,"dyspnea, unresponsiveness, chest tightness, presence of q wave, Heberden's node"
gout,"pericardial friction rub, lip smacking, hypokinesia, pain, patient non compliance"
gout,"enuresis, hypokinesia, pain, rambling speech, ascites"
coronary heart disease,"pain neck, fever, hypocalcemia result, behavior hyperactive, dyspnea on exertion, orthopnea, sweating increased, myalgia, bowel sounds decreased"
hiv infections,"hypotonic, heavy legs, systolic ejection murmur, productive cough, decreased body weight, feeling suicidal"
upper   respiratory infection,"noisy respiration, renal angle tenderness, pain back, hot flush, frail, hemiplegia, breakthrough pain"
cardiomyopathy,"dyspnea on exertion, gravida 0, fatigue, barking cough, patient non compliance"
infection,"apyrexial, cough, mass of body structure, swelling, abdominal tenderness"
exanthema,"focal seizures, pustule, painful swallowing, primigravida, dyspareunia, pain"
depressive disorder,"unable to concentrate, erythema, energy increased, st segment depression, homelessness, verbal auditory hallucinations, dysarthria, feeling strange"
embolism   pulmonary,"bedridden, distress respiratory, non-productive cough, barking cough, paresis, unresponsiveness"
tricuspid   valve insufficiency,"impaired cognition, heme positive, dizzy spells, unresponsiveness, cicatrisation, rolling of eyes"
hernia   hiatal,"general discomfort, headache, photophobia, ascites, numbness of hand, disequilibrium"
Pneumocystis   carinii pneumonia,"non-productive cough, neologism, headache, transaminitis, milky, poor dentition, drowsiness"
bronchitis,"dyspnea, hemiplegia, decreased body weight, myoclonus, angina pectoris, poor feeding"
myocardial   infarction,"anosmia, bleeding of vagina, presence of q wave, out of breath, syncope, chest tightness, dyspnea"
hemiparesis,"hypoxemia, stinging sensation, dullness, cardiovascular event, Stahli's line"
suicide   attempt,"patient non compliance, bradycardia, fatigue, cough, facial paresis, formication, abnormally hard consistency"
obesity   morbid,"general discomfort, cushingoid habitus, hypoxemia, feels hot/feverish, renal angle tenderness, natural, heme positive"
diverticulitis,"monoclonal, monocytosis, hypercapnia, qt interval prolonged, thicken, fever, urgency of micturition, alcoholic withdrawal symptoms, homelessness"
chronic   kidney failure,"unresponsiveness, terrify, pleuritic pain, fever, proteinemia, left atrial hypertrophy"
migraine   disorders,"dizziness, nausea, hemodynamically stable, splenomegaly, fever, stool color yellow, titubation"
failure   heart,"systolic ejection murmur, posterior rhinorrhea, apyrexial, hypotension, pain in lower limb, elation, underweight, angina pectoris"
dependence,"heavy legs, rale, enuresis, muscle twitch, sinus rhythm"
pyelonephritis,"non-productive cough, chill, myalgia, fever, gurgle, rhd positive"
ketoacidosis   diabetic,"stiffness, diarrhea, seizure, aura, non-productive cough, urinary hesitation, nightmare"
cellulitis,"hematochezia, rambling speech, disequilibrium, scratch marks, hypoxemia, pain chest, dyspnea"
degenerative   polyarthritis,"hemiplegia, hypotension, clammy skin, unsteady gait, haemoptysis, polydypsia, stiffness"
gastroenteritis,"retch, hyponatremia, renal angle tenderness, shooting pain, overweight, pruritus, decreased body weight"
pneumonia   aspiration,"adverse effect, sneeze, diarrhea, heme positive, spontaneous rupture of membranes, hemiplegia"
gastroenteritis,"sputum purulent, decreased body weight, pulsus paradoxus, awakening early, retch, mass of body structure"
epilepsy,"myoclonus, wheelchair bound, unhappy, general discomfort, sleepy"
carcinoma of lung,"asthenia, apyrexial, orthopnea, agitation, shooting pain, decreased translucency, constipation"
sickle   cell anemia,"hepatosplenomegaly, weepiness, arthralgia, apyrexial, headache, cushingoid habitus"
confusion,"air fluid level, dizziness, abdominal bloating, homicidal thoughts, dysarthria"
dementia,"mass of body structure, pain, weight gain, heavy legs, unsteady gait, abdominal tenderness, para 1, hallucinations auditory"
diverticulosis,"paresthesia, cystic lesion, feeling hopeless, anorexia, yellow sputum"
paroxysmal   dyspnea,"sleeplessness, hypothermia, weight gain, sweating increased, dyspnea"
gastroesophageal   reflux disease,"pain abdominal, hepatosplenomegaly, sweating increased, pallor, ambidexterity, dyspnea on exertion, palpitation, headache"
depressive disorder,"verbal auditory hallucinations, scleral icterus, homelessness, no status change, abdominal tenderness"
endocarditis,"heme positive, hepatomegaly, apyrexial, orthopnea, incoherent, decreased body weight, metastatic lesion"
cardiomyopathy,"stridor, headache, behavior hyperactive, cyanosis, patient non compliance, numbness, dyspnea on exertion, fatigue"
colitis,"urge incontinence, colic abdominal, air fluid level, heme positive, anorexia, pain abdominal, tenesmus, symptom aggravating factors"
ulcer   peptic,"wheelchair bound, blanch, gurgle, apyrexial, hunger, hypersomnia, nervousness"
pneumonia,"hypersomnolence, t wave inverted, wheezing, non-productive cough, dysarthria, night sweat, decompensation"
primary   carcinoma of the liver cells,"tired, stupor, uncoordination, pain abdominal, hematocrit decreased"
obesity,"behavior hyperactive, mood depressed, systolic murmur, overweight, ecchymosis, giddy mood"
diverticulitis,"urgency of micturition, apyrexial, claudication, incoherent, thicken, fever, sinus rhythm, previous pregnancies 2"
Pneumocystis   carinii pneumonia,"non-productive cough, pulsus paradoxus, transaminitis, poor dentition, hyperacusis"
lymphatic   diseases,"hyperacusis, pain foot, st segment depression, fatigue, clammy skin, previous pregnancies 2"
affect   labile,"heavy legs, tremor, tonic seizures, hallucinations visual, prostatism"
oral   candidiasis,"abdominal bloating, non-productive cough, adverse effect, orthostasis, transaminitis, photophobia"
decubitus   ulcer,"t wave inverted, fever, sweating increased, headache, systolic murmur, sore to touch, frail"
melanoma,"diarrhea, vomiting, pain, cystic lesion, mass in breast, myoclonus"
accident   cerebrovascular,"seizure, unresponsiveness, asthenia, numbness, decreased body weight, throat sore"
bipolar   disorder,"exhaustion, retch, intoxication, mydriasis, fear of falling, wheelchair bound, apyrexial, loose associations, pain abdominal"
deglutition   disorder,"side pain, lesion, rhd positive, stiffness, sleeplessness"
adhesion,"feeling suicidal, behavior showing increased motor activity, nonsmoker, difficulty passing urine, hallucinations visual"
pancreatitis,"nausea, sore to touch, apyrexial, sciatica, rigor - temperature-associated observation, hyperhidrosis disorder, incoherent"
primary   carcinoma of the liver cells,"poor feeding, stupor, cough, pain abdominal, headache, splenomegaly, rest pain, giddy mood"
dehydration,"unresponsiveness, erythema, lethargy, dizziness, labored breathing, alcoholic withdrawal symptoms, history of - blackout, feces in rectum, behavior showing increased motor activity, sensory discomfort"
pneumonia,"fecaluria, night sweat, adverse effect, malaise, food intolerance, wheezing"
personality   disorder,"ache, coordination abnormal, side pain, pruritus, worry, nasal flaring, pain neck, pneumatouria"
spasm   bronchial,"decreased body weight, vomiting, pain neck, pain, fremitus, sensory discomfort"
carcinoma breast,"burning sensation, formication, dyspnea, swelling, verbal auditory hallucinations, hunger"
dehydration,"orthostasis, dizziness, history of - blackout, focal seizures, chill, lethargy, sensory discomfort"
asthma,"urgency of micturition, productive cough, previous pregnancies 2, pleuritic pain, distress respiratory, symptom aggravating factors, room spinning, titubation"
bipolar   disorder,"pulsus paradoxus, scratch marks, mydriasis, behavior hyperactive, jugular venous distention"
dehydration,"lung nodule, qt interval prolonged, satiety early, hyperkalemia, sensory discomfort, overweight, dizziness, macule, history of - blackout"
transient   ischemic attack,"syncope, unwell, difficulty, orthostasis, breakthrough pain, hyponatremia, st segment depression"
diverticulitis,"facial paresis, thicken, sensory discomfort, fever, urgency of micturition"
dependence,"st segment depression, muscle twitch, irritable mood, heavy legs, rale"
carcinoma,"pulse absent, nausea, systolic murmur, lung nodule, pin-point pupils, hypotonic, decreased body weight, heartburn"
hepatitis,"coordination abnormal, chill, hirsutism, distress respiratory, nasal discharge present"
cholecystitis,"pallor, constipation, groggy, chest discomfort, energy increased, mass in breast, snuffle, emphysematous change"
cirrhosis,"pain chest, hemodynamically stable, weepiness, guaiac positive, presence of q wave, verbally abusive behavior"
delirium,"photophobia, diarrhea, fever, hallucinations auditory, spontaneous rupture of membranes"
melanoma,"nightmare, pain, diarrhea, mass in breast, food intolerance, vomiting, sedentary"
ischemia,"primigravida, sweating increased, rale, indifferent mood, bradycardia, asymptomatic, drowsiness"
hypertension   pulmonary,"tinnitus, cyanosis, bruit, superimposition, spontaneous rupture of membranes, nausea and vomiting, left atrial hypertrophy, hypotension, withdraw"
upper   respiratory infection,"posturing, emphysematous change, frail, debilitation, noisy respiration, seizure, apyrexial"
dependence,"muscle twitch, hemianopsia homonymous, rale, primigravida, stuffy nose"
endocarditis,"metastatic lesion, orthopnea, decreased body weight, sleeplessness, immobile, has religious belief, hypercapnia, pulsus paradoxus"
asthma,"irritable mood, productive cough, numbness, distress respiratory, symptom aggravating factors"
peripheral   vascular disease,"sleepy, breath sounds decreased, anorexia, dyspnea, welt"
edema   pulmonary,"shortness of breath, pin-point pupils, pain chest, sinus rhythm, chest discomfort"
bipolar   disorder,"no status change, mydriasis, exhaustion, cachexia, intoxication, myalgia, thicken, loose associations, sniffle, facial paresis"
myocardial   infarction,"presence of q wave, chill, syncope, hoarseness, dyspnea"
encephalopathy,"dyspnea on exertion, thicken, debilitation, unresponsiveness, spontaneous rupture of membranes, hypokinesia"
transient   ischemic attack,"syncope, difficulty, shooting pain, unable to concentrate, clumsiness, has religious belief, headache, groggy, spasm"
lymphatic   diseases,"angina pectoris, fatigue, egophony, non-productive cough, abdomen acute, burning sensation, fremitus"
transient   ischemic attack,"difficulty, urgency of micturition, headache, syncope, heme positive, clumsiness"
primary malignant neoplasm,"hoarseness, hematuria, chest discomfort, thicken, disequilibrium, pain"
pneumonia   aspiration,"feeling hopeless, pain abdominal, panic, hemiplegia, gurgle, diarrhea, vision blurred"
Alzheimer's   disease,"soft tissue swelling, muscle twitch, breath sounds decreased, tremor, red blotches, fever, groggy"
encephalopathy,"unable to concentrate, extrapyramidal sign, hypokinesia, swelling, numbness, throat sore, thicken, unresponsiveness, wheelchair bound"
carcinoma prostate,"mass of body structure, no known drug allergies, decreased body weight, pulsus paradoxus, choke, orthostasis, debilitation, pruritus, hemodynamically stable"
adhesion,"unsteady gait, immobile, feeling suicidal, large-for-dates fetus, hallucinations visual, feeling hopeless"
delirium,"scratch marks, intoxication, hallucinations auditory, heme positive, fever"
endocarditis,"distress respiratory, stool color yellow, catatonia, metastatic lesion, pansystolic murmur"
myocardial   infarction,"dyspnea, stupor, chest tightness, agitation, syncope"
exanthema,"painful swallowing, pain, dullness, titubation, photophobia, red blotches, lesion, heavy legs"
accident   cerebrovascular,"numbness, tinnitus, redness, immobile, unresponsiveness, asthenia, lightheadedness, no status change"
migraine   disorders,"headache, splenomegaly, fever, nausea, hirsutism, no known drug allergies"
hypertensive   disease,"arthralgia, angina pectoris, haemoptysis, anorexia, nausea, palpitation, flare"
failure   kidney,"Stahli's line, worry, bedridden, no status change, hemiplegia, loose associations, fatigue"
pneumonia,"non-productive cough, wheezing, prostatism, pneumatouria, night sweat, malaise"
coronary heart disease,"sweating increased, dyspnea on exertion, nausea, orthopnea, chest tightness, renal angle tenderness, pain abdominal"
decubitus   ulcer,"systolic murmur, headache, hypoproteinemia, nightmare, pain chest, fever, formication, neck stiffness, posturing, frail"
influenza,"distress respiratory, cardiomegaly, extreme exhaustion, sneeze, blackout, regurgitates after swallowing"
hyperglycemia,"wheezing, estrogen use, seizure, charleyhorse, rambling speech, ascites"
cardiomyopathy,"patient non compliance, weight gain, fatigue, lesion, dyspnea on exertion, pneumatouria, throbbing sensation quality"
influenza,"sneeze, extreme exhaustion, poor dentition, blackout, distress respiratory, feces in rectum"
pancreatitis,"rigor - temperature-associated observation, emphysematous change, apyrexial, hypertonicity, nausea, paresthesia, sore to touch, regurgitates after swallowing"
transient   ischemic attack,"paralyse, syncope, headache, difficulty, cardiomegaly, clumsiness"
degenerative   polyarthritis,"unsteady gait, stiffness, bleeding of vagina, non-productive cough, rhd positive, sore to touch, retch"
hemiparesis,"stinging sensation, moody, facial paresis, sleepy, jugular venous distention, myoclonus, Stahli's line"
infection,"cough, apyrexial, swelling, labored breathing, Heberden's node"
bronchitis,"decreased body weight, blanch, nasal flaring, chill, dyspnea, hacking cough"
personality   disorder,"sweating increased, worry, side pain, homelessness, hyperventilation"
incontinence,"nausea, unresponsiveness, stiffness, macerated skin, fall, tachypnea"
hypercholesterolemia,"dyspnea, worry, qt interval prolonged, st segment depression, t wave inverted"
pneumonia   aspiration,"diarrhea, hemiplegia, gurgle, pain abdominal, blackout, weight gain"
hiv infections,"decreased body weight, coordination abnormal, sleepy, macule, sleeplessness, hypotonic, feeling suicidal, throbbing sensation quality"
diabetes,"vertigo, labored breathing, vomiting, poor feeding, shooting pain"
adhesion,"feeling suicidal, immobile, hallucinations visual, bradycardia, unsteady gait, sore to touch, transaminitis, renal angle tenderness"
primary   carcinoma of the liver cells,"photopsia, stupor, pain abdominal, cough, facial paresis"
hypertension   pulmonary,"neck stiffness, left atrial hypertrophy, hypotension, sleepy, hypoxemia, r wave feature, paralyse, burning sensation"
primary   carcinoma of the liver cells,"sleeplessness, hematocrit decreased, pustule, motor retardation, cough, dizzy spells"
infection,"swelling, cough, apyrexial, pain, hypotonic, chest discomfort"
myocardial   infarction,"dyspnea, presence of q wave, chest tightness, pleuritic pain, syncope, decreased body weight"
hepatitis   C,"patient non compliance, speech slurred, chill, hallucinations auditory, ataxia"
incontinence,"monocytosis, unresponsiveness, hypersomnia, bowel sounds decreased, fall, achalasia, sweating increased"
endocarditis,"dysdiadochokinesia, apyrexial, mass of body structure, orthopnea, bedridden"
ketoacidosis   diabetic,"diarrhea, aura, seizure, cough, urinary hesitation, sciatica, flare"
embolism   pulmonary,"non-productive cough, history of - blackout, unhappy, titubation, distress respiratory, wheezing"
pyelonephritis,"dizziness, fever, pain abdominal, chill, pain chest, asymptomatic, lethargy, myalgia, hypometabolism"
dependence,"heavy legs, hypoproteinemia, stuffy nose, hypoalbuminemia, muscle twitch, rale, disequilibrium"
malignant   neoplasms,"unsteady gait, dullness, tumor cell invasion, t wave inverted, pain abdominal, vision blurred"
kidney   failure acute,"natural, hoarseness, unresponsiveness, diarrhea, bedridden"
primary   carcinoma of the liver cells,"flushing, incoherent, breech presentation, pain abdominal, stupor, cough"
personality   disorder,"posturing, worry, homelessness, pruritus, motor retardation"
dementia,"no status change, transsexual, hallucinations auditory, flushing, history of - blackout"
mitral   valve insufficiency,"vomiting, mediastinal shift, drool, hot flush, air fluid level, pain, chest discomfort"
anxiety   state,"thicken, cough, hallucinations auditory, hematocrit decreased, st segment elevation"
psychotic   disorder,"urge incontinence, energy increased, behavior hyperactive, stool color yellow, nightmare"
thrombocytopaenia,"room spinning, irritable mood, fatigue, pruritus, posterior rhinorrhea, mood depressed"
chronic   alcoholic intoxication,"presence of q wave, unresponsiveness, breath sounds decreased, difficulty passing urine, st segment elevation, decreased stool caliber, anosmia, shortness of breath"
schizophrenia,"homelessness, worry, decompensation, underweight, patient non compliance"
adenocarcinoma,"pain, hot flush, scar tissue, rale, egophony, shortness of breath, stinging sensation, pain abdominal"
myocardial   infarction,"myoclonus, chest tightness, presence of q wave, syncope, sensory discomfort, mydriasis"
bronchitis,"milky, labored breathing, chill, decreased translucency, hacking cough"
diverticulosis,"anorexia, nausea, heavy feeling, cystic lesion, seizure, feeling hopeless"
migraine   disorders,"difficulty passing urine, st segment depression, gag, fever, asthenia"
gastritis,"rigor - temperature-associated observation, pain, hypersomnolence, cyanosis, sore to touch, decreased body weight"
hemorrhoids,"hematuria, numbness of hand, dizziness, mediastinal shift, mydriasis"
manic   disorder,"fatigue, decompensation, labored breathing, suicidal, difficulty, slowing of urinary stream"
thrombocytopaenia,"clumsiness, posterior rhinorrhea, fatigue, floppy, pruritus, dysarthria"
carcinoma prostate,"poor feeding, orthostasis, hallucinations auditory, mediastinal shift, mass of body structure, hemodynamically stable, hallucinations visual, cystic lesion"
suicide   attempt,"irritable mood, cough, dullness, urge incontinence, tonic seizures, formication"
parkinson   disease,"sleepy, giddy mood, moody, mass of body structure, night sweat, hematuria"
delirium,"hydropneumothorax, diarrhea, hallucinations auditory, fever, cushingoid habitus, abdominal bloating"
melanoma,"bedridden, regurgitates after swallowing, mass in breast, feeling strange, pain foot, diarrhea, guaiac positive, vomiting"
gastritis,"snore, dizziness, sore to touch, decreased body weight, snuffle"
oral   candidiasis,"monocytosis, non-productive cough, hemodynamically stable, abdominal bloating, adverse effect, dysuria, focal seizures, hypometabolism"
biliary   calculus,"palpitation, redness, breakthrough pain, difficulty, diarrhea, non-productive cough, apyrexial, sore to touch"
anemia,"underweight, swelling, shortness of breath, slowing of urinary stream, nausea, dysarthria, transaminitis"
adhesion,"hallucinations visual, feeling suicidal, immobile, systolic ejection murmur, myoclonus, unsteady gait, productive cough"
primary malignant neoplasm,"hematuria, hoarseness, flushing, cicatrisation, thicken, dysuria"
peripheral   vascular disease,"urinary hesitation, dyspnea, mental status changes, sore to touch, anorexia, productive cough, sleepy"
hiv infections,"decreased body weight, unsteady gait, productive cough, hypotonic, titubation"
aphasia,"pain, cough, charleyhorse, cardiomegaly, aphagia, paralyse, coordination abnormal, low back pain"
exanthema,"chill, diarrhea, agitation, cicatrisation, pain"
primary malignant neoplasm,"weight gain, sweating increased, hoarseness, ambidexterity, thicken, fever, room spinning, pain"
fibroid   tumor,"primigravida, food intolerance, weight gain, proteinemia, tonic seizures, heartburn"
cirrhosis,"diarrhea, underweight, bleeding of vagina, guaiac positive, hemodynamically stable"
dependence,"agitation, inappropriate affect, rale, heavy legs, splenomegaly, muscle twitch, stuffy nose"
asthma,"productive cough, ataxia, symptom aggravating factors, hepatosplenomegaly, pleuritic pain, nervousness, pallor, distress respiratory"
delirium,"suicidal, rolling of eyes, fever, hallucinations auditory, hypersomnia"
ileus,"vision blurred, thicken, stool color yellow, gravida 0, pain abdominal"
embolism   pulmonary,"tremor, unresponsiveness, non-productive cough, pain, wheezing, rest pain"
ulcer   peptic,"heavy feeling, incoherent, lightheadedness, nervousness, gurgle, feels hot/feverish"
hernia   hiatal,"guaiac positive, photophobia, alcohol binge episode, headache, numbness of hand, scratch marks"
chronic   obstructive airway disease,"colic abdominal, hypercapnia, labored breathing, out of breath, metastatic lesion, chest tightness, mental status changes"
adhesion,"motor retardation, tremor, immobile, feeling suicidal, unsteady gait"
paranoia,"scleral icterus, blackout, nonsmoker, groggy, energy increased, mood depressed, pain abdominal, hirsutism, fever"
exanthema,"chill, painful swallowing, pain, constipation, apyrexial, heavy legs, photophobia, ataxia"
failure   kidney,"fatigue, no status change, emphysematous change, oliguria, bedridden, groggy, hypothermia"
embolism   pulmonary,"wheezing, sneeze, suicidal, clumsiness, non-productive cough, unresponsiveness"
anxiety   state,"productive cough, hypometabolism, flatulence, slowing of urinary stream, pain, mood depressed"
personality   disorder,"pruritus, pain neck, homelessness, worry, feces in rectum, hypokalemia, ataxia, hallucinations auditory"
hernia,"catatonia, asthenia, proteinemia, st segment elevation, mass of body structure, food intolerance"
sickle   cell anemia,"hypersomnia, hepatosplenomegaly, yellow sputum, heme positive, green sputum"
dehydration,"history of - blackout, clammy skin, frothy sputum, lethargy, abscess bacterial, dizziness"
pancreatitis,"rigor - temperature-associated observation, sore to touch, apyrexial, tachypnea, pain"
depressive disorder,"throbbing sensation quality, verbal auditory hallucinations, energy increased, stupor, nightmare"
influenza,"blackout, enuresis, extreme exhaustion, distress respiratory, drowsiness, achalasia, urinoma, sneeze"
hepatitis   B,"abdominal tenderness, cardiovascular event, tremor resting, welt, projectile vomiting, wheelchair bound, moan, feeling strange"
osteoporosis,"out of breath, throat sore, syncope, lightheadedness, alcoholic withdrawal symptoms, apyrexial"
degenerative   polyarthritis,"noisy respiration, phonophobia, hyperventilation, non-productive cough, stiffness, indifferent mood"
paroxysmal   dyspnea,"hypersomnolence, difficulty passing urine, cough, weight gain, dyspnea"
overload   fluid,"hypokalemia, Stahli's line, swelling, green sputum, hypotension, bradykinesia"
kidney   disease,"gravida 0, bleeding of vagina, unresponsiveness, hyperkalemia, unhappy, sweating increased"
delirium,"suicidal, hallucinations auditory, jugular venous distention, fever, urinary hesitation, diarrhea"
overload   fluid,"hypotension, constipation, shortness of breath, swelling, verbally abusive behavior, macule, distended abdomen"
lymphatic   diseases,"posturing, arthralgia, fremitus, egophony, gurgle, fatigue, photophobia, scleral icterus, pain back"
delusion,"gag, terrify, blackout, ecchymosis, irritable mood"
pyelonephritis,"pain abdominal, feels hot/feverish, chill, loose associations, fever"
embolism   pulmonary,"non-productive cough, breakthrough pain, awakening early, dysesthesia, pallor, atypia, unresponsiveness, distress respiratory"
manic   disorder,"difficulty, sedentary, decompensation, monocytosis, irritable mood, hyperventilation, lightheadedness, feeling suicidal"
personality   disorder,"low back pain, scar tissue, bedridden, haemoptysis, pruritus"
cirrhosis,"hemodynamically stable, bleeding of vagina, arthralgia, guaiac positive, floppy, sore to touch"
migraine   disorders,"retch, splenomegaly, fever, nausea, hyperacusis, dizziness"
insufficiency   renal,"fall, chill, breath sounds decreased, behavior showing increased motor activity, difficulty, hypotension, chest discomfort, pruritus, ataxia"
carcinoma,"sleepy, urge incontinence, lung nodule, heartburn, diarrhea, abdominal tenderness, achalasia"
migraine   disorders,"fever, nausea, splenomegaly, dizziness, blanch, arthralgia, pain foot, heartburn, macule"
bipolar   disorder,"loose associations, impaired cognition, exhaustion, urgency of micturition, unsteady gait, mydriasis, intoxication, hypokalemia"
hyperlipidemia,"hemiplegia, urinary hesitation, patient non compliance, giddy mood, uncoordination, dizziness, clonus, egophony"
confusion,"intoxication, dizziness, natural, hacking cough, hematochezia, unresponsiveness, homelessness, hepatosplenomegaly, dysarthria"
decubitus   ulcer,"frail, tremor resting, sore to touch, systolic murmur, headache, motor retardation, fever, abscess bacterial"
carcinoma breast,"dyspnea, bradykinesia, stupor, swelling, burning sensation, hydropneumothorax, headache"
Alzheimer's   disease,"groggy, left atrial hypertrophy, clumsiness, fremitus, dysarthria, seizure"
failure   heart,"systolic ejection murmur, hypotension, burning sensation, metastatic lesion, sneeze, angina pectoris, stuffy nose"
Pneumocystis   carinii pneumonia,"poor dentition, transaminitis, non-productive cough, paresthesia, pneumatouria"
hyperbilirubinemia,"unconscious state, spasm, myalgia, no status change, choke"
carcinoma of lung,"agitation, irritable mood, stool color yellow, asthenia, behavior hyperactive, scleral icterus, tumor cell invasion, decreased translucency, sensory discomfort"
deglutition   disorder,"tired, decreased body weight, inappropriate affect, side pain, lesion, stiffness, scar tissue, angina pectoris"
hepatitis   B,"burning sensation, abdominal tenderness, superimposition, cardiomegaly, wheelchair bound"
neoplasm,"shooting pain, titubation, satiety early, headache, primigravida"
cellulitis,"scratch marks, abnormally hard consistency, r wave feature, difficulty, hemianopsia homonymous, sore to touch, paralyse"
diverticulosis,"anorexia, feeling hopeless, cystic lesion, aura, difficulty"
primary malignant neoplasm,"noisy respiration, pain, hematuria, blackout, thicken, hypokalemia, sleepy, pruritus"
depressive disorder,"no known drug allergies, prodrome, homelessness, nightmare, verbal auditory hallucinations, sensory discomfort"
failure   heart,"angina pectoris, hypotension, splenomegaly, distress respiratory, retch, systolic ejection murmur"
adenocarcinoma,"patient non compliance, elation, pain abdominal, polydypsia, scar tissue, hepatomegaly, haemoptysis, pain, slowing of urinary stream"
hyperbilirubinemia,"posturing, general unsteadiness, frothy sputum, suicidal, cough"
hypercholesterolemia,"clumsiness, t wave inverted, throbbing sensation quality, dyspnea, worry, systolic murmur, sleepy"
cholecystitis,"groggy, abnormally hard consistency, feces in rectum, hallucinations auditory, hyperkalemia, constipation"
ulcer   peptic,"rhd positive, nervousness, gurgle, red blotches, bedridden, apyrexial"
tonic-clonic seizures,"tumor cell invasion, spasm, nasal discharge present, headache, green sputum, fever"
glaucoma,"difficulty passing urine, hyponatremia, burning sensation, mass of body structure, tachypnea, suicidal, hypersomnia, lesion, extreme exhaustion"
carcinoma of lung,"decreased translucency, rhd positive, asthenia, agitation, Stahli's line"
upper   respiratory infection,"apyrexial, frail, blackout, noisy respiration, choke, verbally abusive behavior"
chronic   kidney failure,"transaminitis, distress respiratory, unresponsiveness, pleuritic pain, fever"
Pneumocystis   carinii pneumonia,"phonophobia, poor dentition, emphysematous change, hypometabolism, coordination abnormal, throat sore"
hypoglycemia,"tachypnea, syncope, mass in breast, photophobia, noisy respiration, behavior hyperactive, hypotension, clammy skin, distress respiratory"
carcinoma,"retropulsion, dizziness, previous pregnancies 2, cardiomegaly, lung nodule, nausea, heartburn"
obesity   morbid,"energy increased, pulse absent, renal angle tenderness, tinnitus, hypoxemia, hematocrit decreased"
hiv infections,"worry, feeling suicidal, splenomegaly, decreased body weight, nervousness, hypotonic, thicken, hirsutism, posterior rhinorrhea"
confusion,"dizziness, dysarthria, pruritus, unresponsiveness, lightheadedness, has religious belief, food intolerance"
schizophrenia,"poor dentition, homelessness, underweight, hallucinations visual, fremitus, previous pregnancies 2, dysesthesia"
insufficiency   renal,"suicidal, hypokinesia, difficulty, hunger, pustule, stiffness, hypotension"
Pneumocystis   carinii pneumonia,"photopsia, non-productive cough, transaminitis, pulsus paradoxus, headache, fever"
hemorrhoids,"numbness of hand, urgency of micturition, guaiac positive, para 1, welt, unable to concentrate, achalasia"
hyperlipidemia,"giddy mood, jugular venous distention, flatulence, impaired cognition, dizziness, spontaneous rupture of membranes, paralyse"
hemiparesis,"constipation, sleepy, facial paresis, unable to concentrate, Stahli's line, stinging sensation"
anemia,"hyperemesis, swelling, abnormal sensation, flare, dizzy spells, transaminitis, guaiac positive, urinoma"
arthritis,"shortness of breath, st segment depression, flushing, pain, distended abdomen, productive cough, exhaustion"
schizophrenia,"retropulsion, room spinning, hallucinations visual, homelessness, pulsus paradoxus, underweight, worry"
overload   fluid,"distended abdomen, cachexia, excruciating pain, hypokalemia, swelling"
hepatitis   B,"pneumatouria, wheelchair bound, pallor, moan, disturbed family, abdominal tenderness, projectile vomiting, blackout, emphysematous change"
neuropathy,"wheelchair bound, pain, gurgle, tenesmus, tonic seizures, weight gain, yellow sputum"
lymphatic   diseases,"pleuritic pain, giddy mood, non-productive cough, fatigue, fremitus"
